,,,,,,,,,
N° INSA,M/Mme,Prenom,NOM,Année,Langue,mail,Groupe,Decision Jury STPI1,Commentaire
240532,M.,Théo,Garnier,2023,ESP,Théo.Garnier@insa-rouen.fr,B,"rattrapage I1, I2, CTI, Pts de jury SF2",
240548,MME,Juliette,Moulin,2023,ESP,Juliette.Moulin@insa-rouen.fr,B,"Points de jury SF3, ",
240575,M.,Axel,Chevalier,2023,ESP,Axel.Chevalier@insa-rouen.fr,B,,
240586,M.,Maëlle,Renard,2023,ESP,Maëlle.Renard@insa-rouen.fr,B,,
240610,MME,Enzo,Perrin,2023,ESP,Enzo.Perrin@insa-rouen.fr,B,"rattrapage I2, CTI",
240616,MME,Lison,Marchand,2023,ESP,Lison.Marchand@insa-rouen.fr,B,points de jury,
240738,MME,Raphaël,Rousseau,2023,ESP,Raphaël.Rousseau@insa-rouen.fr,B,"rattrapage I1, M2",
240803,M.,Sacha,Lemoine,2023,ESP,Sacha.Lemoine@insa-rouen.fr,B,Points de jury STI,
240852,M.,Antoine,Boyer,2023,ESP,Antoine.Boyer@insa-rouen.fr,B,,
240921,M.,Anaïs,Denis,2023,ESP,Anaïs.Denis@insa-rouen.fr,B,,
240944,M.,Mélanie,Fontaine,2023,ESP,Mélanie.Fontaine@insa-rouen.fr,B,,
240992,MME,Jeanne,Leclerc,2023,ESP,Jeanne.Leclerc@insa-rouen.fr,B,rattrapage I2,
240089,M.,Romain,Brun,2023,ESP,Romain.Brun@insa-rouen.fr,C,,
240103,M.,Nina,Charpentier,2023,ESP,Nina.Charpentier@insa-rouen.fr,C,,
240216,M.,Léonie,Devaux,2023,ESP,Léonie.Devaux@insa-rouen.fr,C,,
240261,M.,Lilian,Rolland,2023,ESP,Lilian.Rolland@insa-rouen.fr,C,,
240291,MME,Maxime,Colin,2023,ESP,Maxime.Colin@insa-rouen.fr,C,,
240325,M.,Amandine,Boucher,2023,ESP,Amandine.Boucher@insa-rouen.fr,C,,
240388,MME,Lucie,Lecomte,2023,ESP,Lucie.Lecomte@insa-rouen.fr,C,,
240422,MME,Charlotte,Poulain,2023,ESP,Charlotte.Poulain@insa-rouen.fr,C,,
240452,M.,Timéo,Barbier,2023,ESP,Timéo.Barbier@insa-rouen.fr,C,,
240567,MME,Salomé,Lejeune,2023,ESP,Salomé.Lejeune@insa-rouen.fr,C,"points de jury SF4, STI",
240753,MME,Margaux,David,2023,ESP,Margaux.David@insa-rouen.fr,C,,passage en SIB ?
240784,M.,Flavie,Dupuis,2023,ESP,Flavie.Dupuis@insa-rouen.fr,C,"Rattrapage I1, I2",
240831,M.,Samuel,Girard,2023,ESP,Samuel.Girard@insa-rouen.fr,C,,
240862,MME,Adèle,Hubert,2023,ESP,Adèle.Hubert@insa-rouen.fr,C,,
240887,M.,Valentin,Vidal,2023,ESP,Valentin.Vidal@insa-rouen.fr,C,"rattrapage I2, M4",
240907,MME,Elodie,Benoit,2023,ESP,Elodie.Benoit@insa-rouen.fr,C,,passage en SIB ?
240927,MME,Tristan,Henry,2023,ESP,Tristan.Henry@insa-rouen.fr,C,,passage en SIB ?
240949,M.,Corentin,Leger,2023,ESP,Corentin.Leger@insa-rouen.fr,C,,
240990,MME,Tom,Bouchet,2023,ESP,Tom.Bouchet@insa-rouen.fr,C,,
240994,M.,Matéo,Gauthier,2023,ESP,Matéo.Gauthier@insa-rouen.fr,C,,
240028,MME,Gaël,Lamy,2023,ALLD,Gaël.Lamy@insa-rouen.fr,D,,
240066,M.,Simon,Seguin,2023,ESP,Simon.Seguin@insa-rouen.fr,D,,
240163,M.,Eline,Pasquier,2023,ALLD,Eline.Pasquier@insa-rouen.fr,D,,
240169,MME,Malo,Maillard,2023,ESP,Malo.Maillard@insa-rouen.fr,D,,
240210,M.,Ophélie,Valette,2023,ALLD,Ophélie.Valette@insa-rouen.fr,D,points de jury,
240266,M.,Cassandre,Gros,2023,ESP,Cassandre.Gros@insa-rouen.fr,D,,
240292,M.,Anaëlle,Turpin,2023,ESP,Anaëlle.Turpin@insa-rouen.fr,D,,
240301,M.,Basile,Jacquot,2023,ESP,Basile.Jacquot@insa-rouen.fr,D,,
240408,M.,Clémentine,Hamon,2023,ESP,Clémentine.Hamon@insa-rouen.fr,D,"rattrapage P3, C1, points de jury STI",
240423,MME,Eliott,Humbert,2023,ALLD,Eliott.Humbert@insa-rouen.fr,D,,
240458,M.,Nolwenn,Perrot,2023,ESP,Nolwenn.Perrot@insa-rouen.fr,D,rattrapage C1 P2,
240462,M.,Clara,Raymond,2023,ESP,Clara.Raymond@insa-rouen.fr,D,,
240500,M. ,Mathis,Chauvet,2022-RED-1A,ESP,Mathis.Chauvet@insa-rouen.fr,D,,
240520,M.,Pauline,Cordier,2023,ESP,Pauline.Cordier@insa-rouen.fr,D,rattrapage I2,
240547,M.,Loris,Pichon,2023,ESP,Loris.Pichon@insa-rouen.fr,D,,
240591,M.,Eléa,Verdier,2023,ESP,Eléa.Verdier@insa-rouen.fr,D,,
240652,MME,Ewen,Leconte,2023,ESP,Ewen.Leconte@insa-rouen.fr,D,,
240668,MME,Maéva,Peltier,2023,ESP,Maéva.Peltier@insa-rouen.fr,D,rattrapage anglais,
240681,M.,Gabin,Besson,2023,ESP,Gabin.Besson@insa-rouen.fr,D,,
240743,M.,Ambre,Dufour,2023,ESP,Ambre.Dufour@insa-rouen.fr,D,points de jury STI,
240948,M.,Robin,Hoarau,2023,ESP,Robin.Hoarau@insa-rouen.fr,D,,
240957,M.,Noham,Guibert,2023,ESP,Noham.Guibert@insa-rouen.fr,D,"rattrapage P3, P2, CTI",
240968,M.,Loïs,Tessier,2023,ESP,Loïs.Tessier@insa-rouen.fr,D,,
241000,MME,Agathe,Godard,2023,ALLD,Agathe.Godard@insa-rouen.fr,D,,
240008,MME,Marilou,Joubert,2022 - RED - 2A,ALL,Marilou.Joubert@insa-rouen.fr,E,,
240046,MME,Oscar,Delattre,2023,ALL,Oscar.Delattre@insa-rouen.fr,E,,
240084,M.,Lara,Delannoy,2023,ALL,Lara.Delannoy@insa-rouen.fr,E,,
240108,M.,Solène,Benard,2023,ALL,Solène.Benard@insa-rouen.fr,E,,
240182,MME,Daphné,Marion,2023,ALL,Daphné.Marion@insa-rouen.fr,E,,
240197,M.,Maïlys,Vernier,2023,ALL,Maïlys.Vernier@insa-rouen.fr,E,"rattrapage M2, M4, CTI",
240223,M.,Louna,Vasseur,2023,ALL,Louna.Vasseur@insa-rouen.fr,E,,
240250,M.,Thaïs,Delmas,2023,ALL,Thaïs.Delmas@insa-rouen.fr,E,rattrapage CTI,
240282,M.,Éloi,Morin,2023,ALL,Éloi.Morin@insa-rouen.fr,E,,
240313,M.,Iris,Chapuis,2023,ALL,Iris.Chapuis@insa-rouen.fr,E,,
240393,M.,Gauthier,Mallet,2023,ALL,Gauthier.Mallet@insa-rouen.fr,E,,
240435,M.,Soline,Gilles,2023,ALL,Soline.Gilles@insa-rouen.fr,E,,
240469,M.,Yanis,Leclercq,2023,ALL,Yanis.Leclercq@insa-rouen.fr,E,,
240473,MME,Ismaël,Laborde,2023,ALL,Ismaël.Laborde@insa-rouen.fr,E,,
240662,M.,Benoît,Boulay,2023,ALL,Benoît.Boulay@insa-rouen.fr,E,,
240706,M.,Augustin,Drouin,2023,ALL,Augustin.Drouin@insa-rouen.fr,E,,
240742,MME,Côme,Delorme,2023,ALL,Côme.Delorme@insa-rouen.fr,E,,
240760,M.,Marina,Guillet,2023,ALL,Marina.Guillet@insa-rouen.fr,E,,
240778,M.,Alix,Hernandez,2023,ALL,Alix.Hernandez@insa-rouen.fr,E,"rattrapage M4, I2",
240940,MME,Noé,Noel,2023,ALL,Noé.Noel@insa-rouen.fr,E,,
240950,M.,Emilien,Rossi,2023,ALL,Emilien.Rossi@insa-rouen.fr,E,,
240997,MME,Alexandre,Boutet,2023,ALL,Alexandre.Boutet@insa-rouen.fr,E,,
240001,MME,Emilien,Barre,2023,ALL,Emilien.Barre@insa-rouen.fr,F,,
240058,M.,Gustave,Descamps,2023,ALL,Gustave.Descamps@insa-rouen.fr,F,,
240117,M.,Hugo,Gaudin,2023,ESPD,Hugo.Gaudin@insa-rouen.fr,F,,
240188,M.,Emy,Laporte,2023,ESPD,Emy.Laporte@insa-rouen.fr,F,rattrapage CTI,
240198,M.,Théophile,Chapel,2023,ALL,Théophile.Chapel@insa-rouen.fr,F,,
240221,M.,Sybille,Sauvage,2023,ESPD,Sybille.Sauvage@insa-rouen.fr,F,,
240231,MME,Marius,Le Roux,2023,ALL,Marius.Le Roux@insa-rouen.fr,F,,
240375,MME,Victorine,Gaborit,2023,ESPD,Victorine.Gaborit@insa-rouen.fr,F,rattrapage espagnol,
240391,M.,Antonin,Benet,2023,ALL,Antonin.Benet@insa-rouen.fr,F,,
240412,M.,Eden,Letellier,2023,ALL,Eden.Letellier@insa-rouen.fr,F,"rattrapage I1, M2",
240456,M.,Timothée,Prevost,2023,ALL,Timothée.Prevost@insa-rouen.fr,F,,
240463,M.,Marceau,Joly,2023,ALL,Marceau.Joly@insa-rouen.fr,F,,
240471,M.,Violette,Thierry,2023,ALL,Violette.Thierry@insa-rouen.fr,F,,
240551,M.,Laure,Bodin,2023,ALL,Laure.Bodin@insa-rouen.fr,F,,
240590,MME,Célian,Jourdan,2023,ALL,Célian.Jourdan@insa-rouen.fr,F,,
240597,M.,Cléa,Gilbert,2023,ALL,Cléa.Gilbert@insa-rouen.fr,F,Points de jury SF2,
240648,M.,Lydie,Mougin,2023,ESPD,Lydie.Mougin@insa-rouen.fr,F,,
240696,M.,Estéban,Mahe,2023,ESPD,Estéban.Mahe@insa-rouen.fr,F,,
240815,M.,Loan,Blin,2023,ESPD,Loan.Blin@insa-rouen.fr,F,,
240836,MME,Constance,Grenier,2023,ALL,Constance.Grenier@insa-rouen.fr,F,rattrapage CTI,
240917,M.,Mylène,Brunet,2023,ESPD,Mylène.Brunet@insa-rouen.fr,F,,
240936,M.,Hortense,Le Gall,2023,ALL,Hortense.Le Gall@insa-rouen.fr,F,,
240014,M.,Achille,Valentin,2023,ESP,Achille.Valentin@insa-rouen.fr,G,,
240072,M.,Loup,Lacombe,2023,ESP,Loup.Lacombe@insa-rouen.fr,G,,
240077,M.,Ilyan,Nicolas,2023,ESP,Ilyan.Nicolas@insa-rouen.fr,G,"rattrapage P2, P3",
240097,M.,Kenzo,Cousin,2023,ESP,Kenzo.Cousin@insa-rouen.fr,G,,
240187,MME,Pénélope,Delahaye,2023,ESP,Pénélope.Delahaye@insa-rouen.fr,G,,
240234,M.,Bastien,Breton,2023,ESP,Bastien.Breton@insa-rouen.fr,G,,
240267,MME,Joana,Briand,2023,ESP,Joana.Briand@insa-rouen.fr,G,,
240288,MME,Philibert,Beaulieu,2023,ESP,Philibert.Beaulieu@insa-rouen.fr,G,,
240338,M.,Mona,Lefort,2023,ESP,Mona.Lefort@insa-rouen.fr,G,,
240341,MME,Joachim,Bazille,2023,ESP,Joachim.Bazille@insa-rouen.fr,G,,
240523,M.,Célestin,Legendre,2023,ESP,Célestin.Legendre@insa-rouen.fr,G,,
240621,M.,Angèle,Baudry,2022-RED-1A,ESP,Angèle.Baudry@insa-rouen.fr,G,,
240625,MME,Cédric,Boulanger,2023,ESP,Cédric.Boulanger@insa-rouen.fr,G,Points de jury SF3,
240642,M.,Ézéchiel,Chapelain,2023,ESP,Ézéchiel.Chapelain@insa-rouen.fr,G,,
240723,M.,Gaspard,Laborde,2023,ESP,Gaspard.Laborde@insa-rouen.fr,G,,
240792,MME,Mélusine,Mace,2023,ESP,Mélusine.Mace@insa-rouen.fr,G,,
240828,M.,Alma,Boutin,2023,ESP,Alma.Boutin@insa-rouen.fr,G,,
240837,MME,Éléonore,Vial,2023,ESP,Éléonore.Vial@insa-rouen.fr,G,,
240860,MME,Mathilde,Chapelle,2023,ESP,Mathilde.Chapelle@insa-rouen.fr,G,,
240890,M.,Clémence,Benard,2023,ESP,Clémence.Benard@insa-rouen.fr,G,,
240064,MME,Olympe,Reynaud,2023,ESP,Olympe.Reynaud@insa-rouen.fr,H,,
240102,MME,Eulalie,Deville,2023,ESP,Eulalie.Deville@insa-rouen.fr,H,,
240107,MME,Perrine,Debray,2022-RED-1A,ESP,Perrine.Debray@insa-rouen.fr,H,,
240167,M.,Aurèle,Bastide,2023,ESP,Aurèle.Bastide@insa-rouen.fr,H,,
240277,MME,Léontine,Carre,2023,ESP,Léontine.Carre@insa-rouen.fr,H,,
240349,M.,Faustine,Pereira,2023,ESP,Faustine.Pereira@insa-rouen.fr,H,,
240475,M.,Zacharie,Gaston,2023,ESP,Zacharie.Gaston@insa-rouen.fr,H,,
240556,M.,Philomène,Castaing,2023,ESP,Philomène.Castaing@insa-rouen.fr,H,,
240596,M.,Blandine,Deschamps,2023,ESP,Blandine.Deschamps@insa-rouen.fr,H,,
240609,M.,Rosalie,Duchamp  ,2023,ESP,Rosalie.Duchamp  @insa-rouen.fr,H,points de jury STI,
240685,M.,Roméo,Charlier,2023,ESP,Roméo.Charlier@insa-rouen.fr,H,,
240707,MME,Bérénice,Maillot,2023,ESP,Bérénice.Maillot@insa-rouen.fr,H,,
240712,M.,Élias,Perrault  ,2023,ESP,Élias.Perrault  @insa-rouen.fr,H,points de jury STI,
240713,MME,Eugène,Lamour,2023,ESP,Eugène.Lamour@insa-rouen.fr,H,,
240732,M.,Émeric,Guillon,2023,ESP,Émeric.Guillon@insa-rouen.fr,H,,
240873,MME,Arsène,Bertin,2023,ESP,Arsène.Bertin@insa-rouen.fr,H,,
240876,M.,Suzanne,Lacroix,2023,ESP,Suzanne.Lacroix@insa-rouen.fr,H,,
240969,M.,Isolde,Pelletier,2023,ESP,Isolde.Pelletier@insa-rouen.fr,H,"rattrapage M4, M5, CTI",
240977,M.,Séraphine,Navarro,2023,ESP,Séraphine.Navarro@insa-rouen.fr,H,,
240987,MME,Lazare,Dumont,2023,ESP,Lazare.Dumont@insa-rouen.fr,H,,
240065,M.,Bora,Erdogan,2023,FLE,Bora.Erdogan@insa-rouen.fr,I,Points de jury STI,
240152,M.,Rachid,Bouzid,2023,ESPD,Rachid.Bouzid@insa-rouen.fr,I,Points de jury,
240205,M.,Lin,Xiao,2023,ESPD,Lin.Xiao@insa-rouen.fr,I,Points de jury,
240289,MME,Marianne,Laporte,2023,ESP,Marianne.Laporte@insa-rouen.fr,I,,
240317,M.,Lucien,Marchal,2023,FLE,Lucien.Marchal@insa-rouen.fr,I,,
240337,M.,Gaétan,Seguin,2023,ESP,Gaétan.Seguin@insa-rouen.fr,I,,
240387,MME,Jonathan,Perrot,2023,ESPD,Jonathan.Perrot@insa-rouen.fr,I,,
240411,MME,Fanny,Denis,2023,ALLD,Fanny.Denis@insa-rouen.fr,I,,
240438,MME,Minh,Tran,2023,ESP,Minh.Tran@insa-rouen.fr,I,,
240536,MME,Aurore,Descamps,2023,ESP,Aurore.Descamps@insa-rouen.fr,I,,
240670,M.,Kaito,Zhang,2023,ALLD,Kaito.Zhang@insa-rouen.fr,I,,
240736,M.,Suki,Kawaguchi,2023,ALLD,Suki.Kawaguchi@insa-rouen.fr,I,,
240833,MME,Laurine,Grenier,2023,ESPD,Laurine.Grenier@insa-rouen.fr,I,"rattrapage I2, M4",
240916,M.,Damien,Terrier,2023,ESP,Damien.Terrier@insa-rouen.fr,I,,
240942,M.,Tenzin,Wang,2022-RED-1A,FLE,Tenzin.Wang@insa-rouen.fr,I,,
240991,MME,Nadia,Mokhtar,2023,ALLD,Nadia.Mokhtar@insa-rouen.fr,I,Points de jury SF2,
240076,M.,Haruto,Fujimoto,2023,ESPD,Haruto.Fujimoto@insa-rouen.fr,J,,
240095,M.,Yuto,Park,2023 - INT 2A - RED,ESPD,Yuto.Park@insa-rouen.fr,J,,
240296,M.,Bastien,Moreau,2023,ALL,Bastien.Moreau@insa-rouen.fr,J,,
240394,MME,Sakura,Takeda,2023,ESP,Sakura.Takeda@insa-rouen.fr,J,"rattrapage I1, M1, I2",
240420,M.,Hana,Sato,2023,ALL,Hana.Sato@insa-rouen.fr,J,,
240517,MME,Imane,Hassan,2023,ALL,Imane.Hassan@insa-rouen.fr,J,,
240587,M.,Mei,Li,2023,ESP,Mei.Li@insa-rouen.fr,J,,
240589,MME,Jérémie,Morin,2023,ESPD,Jérémie.Morin@insa-rouen.fr,J,,
240598,M.,Estelle,Rolland,2023,ESP,Estelle.Rolland@insa-rouen.fr,J,,
240643,M.,Cyrille,Benard,2023,ESPD,Cyrille.Benard@insa-rouen.fr,J,,
240673,MME,Zineb,Ouazzani,2023,ESP,Zineb.Ouazzani@insa-rouen.fr,J,,
240682,M.,Yuna,Nguyen,2023,FLE,Yuna.Nguyen@insa-rouen.fr,J,,
240735,M.,Tuna,Ozturk,2023,ESP,Tuna.Ozturk@insa-rouen.fr,J,,
240761,M.,Salma,Benkirane,2023,FLE,Salma.Benkirane@insa-rouen.fr,J,"rattrapage I2, M4",
240801,M.,Alban,Colin,2023,ESP,Alban.Colin@insa-rouen.fr,J,,
240844,M.,Florian,Boucher,2023,ALL,Florian.Boucher@insa-rouen.fr,J,,
240863,M.,Satoshi,Liu,2022-RED-1A,FLE,Satoshi.Liu@insa-rouen.fr,J,,
240002,M.,Aylin,Kaya,2023,ESP,Aylin.Kaya@insa-rouen.fr,K,,
240113,M.,Ayumi,Hsu,2023,ESP,Ayumi.Hsu@insa-rouen.fr,K,,
240279,MME,Eren,Basar,2023,FLE,Eren.Basar@insa-rouen.fr,K,,
240298,MME,Yassine,El Amrani,2023,ESP,Yassine.El Amrani@insa-rouen.fr,K,,
240427,M.,Taro,Kim,2023,ESP,Taro.Kim@insa-rouen.fr,K,,
240432,M.,Cédric,Lemoine,2023,ESP,Cédric.Lemoine@insa-rouen.fr,K,Points de jury ,
240439,MME,Emir,Yildirim,2023,ESP,Emir.Yildirim@insa-rouen.fr,K,,
240447,M.,Gilles,Laurent,2023,ESP,Gilles.Laurent@insa-rouen.fr,K,,
240498,MME,Deniz,Altintas,2023,ESPD,Deniz.Altintas@insa-rouen.fr,K,,
240531,M.,Selin,Demir,2023,ESP,Selin.Demir@insa-rouen.fr,K,,
240635,M.,Anas,Lahlou,2023,ESPD,Anas.Lahlou@insa-rouen.fr,K,,
240705,M.,Ryota,Kwon,2023,ESP,Ryota.Kwon@insa-rouen.fr,K,"rattrapage CTI, Points de jury SF3",
240708,M.,Rina,Chung,2023,ALL,Rina.Chung@insa-rouen.fr,K,,
240737,M.,Agnès,Maillard,2023,ALL,Agnès.Maillard@insa-rouen.fr,K,,
240754,M.,Hikaru,Watanabe,2023,ESP,Hikaru.Watanabe@insa-rouen.fr,K,,
240923,MME,Bao,Chen,2023,ESP,Bao.Chen@insa-rouen.fr,K,"rattrapage I1, I2, M4",
240924,M.,Omar,Bouhaddi,2023,FLE,Omar.Bouhaddi@insa-rouen.fr,K,"rattrapage CTI, I2, M4",
240932,MME,Mika,Phan,2022-RED-1A,FLE,Mika.Phan@insa-rouen.fr,K,rattrapage CTI,
240961,MME,Mireille,Devaux,2023,ALL,Mireille.Devaux@insa-rouen.fr,K,,
240006,M.,Thibault,Lacroix,2023,ESP,Thibault.Lacroix@insa-rouen.fr,SA1,,
240144,MME,Olivier,Henri,2023,ESP,Olivier.Henri@insa-rouen.fr,SA1,,
240328,MME,Cyril,Leclerc,2023,ESP,Cyril.Leclerc@insa-rouen.fr,SA1,,
240540,MME,Hervé,Joly,2023,ESP,Hervé.Joly@insa-rouen.fr,SA1,,
240615,M.,Geneviève,Baudry,2023,ESP,Geneviève.Baudry@insa-rouen.fr,SA1,,
240336,MME,Aurélien,Barbier,2022,ALLD,Aurélien.Barbier@insa-rouen.fr,SA2,,
240444,M.,Fabien,Benoit,2022,ALL,Fabien.Benoit@insa-rouen.fr,SA2,,
240461,MME,Emilien,Barbier,2022,ESP,Emilien.Barbier@insa-rouen.fr,SA2,,
240772,MME,Virginie,Masson,2022,ALL,Virginie.Masson@insa-rouen.fr,SA2,,
240902,M.,Jiro,Kobayashi,2022,ALL,Jiro.Kobayashi@insa-rouen.fr,SA2,,
240120,MME,Clarisse,Lejeune,2024 - INT 2A,ALLGD,Clarisse.Lejeune@insa-rouen.fr,,,
240156,M.,Kilian,Renaud,2024 - INT 2A,ESPGD,Kilian.Renaud@insa-rouen.fr,,,
240356,M.,Olivier,Noel,2024 - INT 2A,ESPGD,Olivier.Noel@insa-rouen.fr,,,
240374,MME,Odette,Leconte,2024 - INT 2A,ESP,Odette.Leconte@insa-rouen.fr,,,
240392,MME,Laurine,Garlier,2024 - INT 2A,ESP,Laurine.Garlier@insa-rouen.fr,,,
240476,M.,Sophie,Turpin,2024 - INT 2A,ESP,Sophie.Turpin@insa-rouen.fr,,,
240534,M.,Mathias,Gaudin,2024 - Transfert,ALL,Mathias.Gaudin@insa-rouen.fr,,,
240629,M.,Justine,Pichon,2024 - INT 2A,ESP,Justine.Pichon@insa-rouen.fr,,,
240672,M.,Leyla,Karaman,2024 - INT 2A,ESP,Leyla.Karaman@insa-rouen.fr,,,
240692,MME,Isabelle,Marin,2024 - INT 2A,ESPGD,Isabelle.Marin@insa-rouen.fr,,,
240704,M.,Pascal,Dupuis,2024 - INT 2A,ALL,Pascal.Dupuis@insa-rouen.fr,,,
240729,MME,Clarisse,Ledurand,2024 - INT 2A,ESP,Clarisse.Ledurand@insa-rouen.fr,,,
240734,M.,Jasmine,Tong,2024 - Transfert,ESP,Jasmine.Tong@insa-rouen.fr,,,
240739,MME,Solange,Pelletier,2024 - INT 2A,ESP,Solange.Pelletier@insa-rouen.fr,,,
240748,M.,Thibault,Renoult,2024 - INT 2A,ALLGD,Thibault.Renoult@insa-rouen.fr,,,
240752,M.,Armand,Chapel,2024 - INT 2A,ESP,Armand.Chapel@insa-rouen.fr,,,
240765,M.,Bastien,Renault,2024 - INT 2A,ALL,Bastien.Renault@insa-rouen.fr,,,
240901,M.,Jin,Yamamoto,2024 - INT 2A,ESP,Jin.Yamamoto@insa-rouen.fr,,,
240928,M.,Gwendoline,Vasseur,2024 - INT 2A,ESPGD,Gwendoline.Vasseur@insa-rouen.fr,,,
240975,M.,Amélie,Dufresne,2024 - INT 2A,ALL,Amélie.Dufresne@insa-rouen.fr,,,
