num_insa,civilite,prenom,nom,annee,langue,email,section,groupe,decision_jury,commentaire,an,redoublant,intégré,Allemand,Espagnol,Français,Espagnol_debutant,Allemand_debutant,Espagnol_grand_debutant,Allemand_grand_debutant,Nouvelle_section,Nouveau_groupe
240174,M.,Jules,Petit,2022 - RED - 2A,ALLD,Jules.Petit@insa-rouen.fr,1,A,,,2022,2,0,0,0,0,0,1,0,0,,
240182,MME,Daphné,Marion,2023,ALL,Daphné.Marion@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240187,MME,Pénélope,Delahaye,2023,ESP,Pénélope.Delahaye@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240188,M.,Emy,Laporte,2023,ESPD,Emy.Laporte@insa-rouen.fr,2,F,rattrapage CTI,,2023,0,0,0,0,0,1,0,0,0,,
240197,M.,Maïlys,Vernier,2023,ALL,Maïlys.Vernier@insa-rouen.fr,2,E,"rattrapage M2, M4, CTI",,2023,0,0,1,0,0,0,0,0,0,,
240198,M.,Théophile,Chapel,2023,ALL,Théophile.Chapel@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240203,MME,Lina,Faure,2023,ESP,Lina.Faure@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
240205,M.,Lin,Xiao,2023,ESPD,Lin.Xiao@insa-rouen.fr,SIB,I,Points de jury,,2023,0,0,0,0,0,1,0,0,0,,
240210,M.,Ophélie,Valette,2023,ALLD,Ophélie.Valette@insa-rouen.fr,1,D,points de jury,,2023,0,0,0,0,0,0,1,0,0,,
240214,MME,Alice,Thomas,2023,ESP,Alice.Thomas@insa-rouen.fr,1,A,,passage en SIB,2023,0,0,0,1,0,0,0,0,0,,
240216,M.,Léonie,Devaux,2023,ESP,Léonie.Devaux@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240221,M.,Sybille,Sauvage,2023,ESPD,Sybille.Sauvage@insa-rouen.fr,2,F,,,2023,0,0,0,0,0,1,0,0,0,,
240223,M.,Louna,Vasseur,2023,ALL,Louna.Vasseur@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240227,MME,Clément,Leclercq,2023,ESP,Clément.Leclercq@insa-rouen.fr,1,B,Points de jury,,2023,0,0,0,1,0,0,0,0,0,,
240231,MME,Marius,Le Roux,2023,ALL,Marius.Le Roux@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240234,M.,Bastien,Breton,2023,ESP,Bastien.Breton@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240250,M.,Thaïs,Delmas,2023,ALL,Thaïs.Delmas@insa-rouen.fr,2,E,rattrapage CTI,,2023,0,0,1,0,0,0,0,0,0,,
240261,M.,Lilian,Rolland,2023,ESP,Lilian.Rolland@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240266,M.,Cassandre,Gros,2023,ESP,Cassandre.Gros@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240267,MME,Joana,Briand,2023,ESP,Joana.Briand@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240272,M.,Hugo,Robert,2023,ESP,Hugo.Robert@insa-rouen.fr,1,A,,,2023,0,0,0,1,0,0,0,0,0,,
240276,MME,Paul,Mercier,2023,ESP,Paul.Mercier@insa-rouen.fr,1,A,,,2023,0,0,0,1,0,0,0,0,0,,
240277,MME,Léontine,Carre,2023,ESP,Léontine.Carre@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240279,MME,Eren,Basar,2023,FLE,Eren.Basar@insa-rouen.fr,SIB,K,,,2023,0,0,0,0,1,0,0,0,0,,
240280,MME,Arthur,Michel,2023,ESP,Arthur.Michel@insa-rouen.fr,1,A,,passage en SIB,2023,0,0,0,1,0,0,0,0,0,,
240282,M.,Éloi,Morin,2023,ALL,Éloi.Morin@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240288,MME,Philibert,Beaulieu,2023,ESP,Philibert.Beaulieu@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240289,MME,Marianne,Laporte,2023,ESP,Marianne.Laporte@insa-rouen.fr,SIB,I,,,2023,0,0,0,1,0,0,0,0,0,,
240291,MME,Maxime,Colin,2023,ESP,Maxime.Colin@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240292,M.,Anaëlle,Turpin,2023,ESP,Anaëlle.Turpin@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240296,M.,Bastien,Moreau,2023,ALL,Bastien.Moreau@insa-rouen.fr,SIB,J,,,2023,0,0,1,0,0,0,0,0,0,,
240298,MME,Yassine,El Amrani,2023,ESP,Yassine.El Amrani@insa-rouen.fr,SIB,K,,,2023,0,0,0,1,0,0,0,0,0,,
240301,M.,Basile,Jacquot,2023,ESP,Basile.Jacquot@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240303,MME,Camille,Simon,2023,ESP,Camille.Simon@insa-rouen.fr,1,A,,,2023,0,0,0,1,0,0,0,0,0,,
240313,M.,Iris,Chapuis,2023,ALL,Iris.Chapuis@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240317,M.,Lucien,Marchal,2023,FLE,Lucien.Marchal@insa-rouen.fr,SIB,I,,,2023,0,0,0,0,1,0,0,0,0,,
240320,M.,Emma,Bernard,2023,ESPD,Emma.Bernard@insa-rouen.fr,1,A,,passage en SIB,2023,0,0,0,0,0,1,0,0,0,,
240325,M.,Amandine,Boucher,2023,ESP,Amandine.Boucher@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240326,M.,Ethan,Guillaume,2023,ESP,Ethan.Guillaume@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
240328,MME,Cyril,Leclerc,2023,ESP,Cyril.Leclerc@insa-rouen.fr,0,SA1,,,2023,0,0,0,1,0,0,0,0,0,,
240334,MME,Zoé,Lefevre,2023,ESP,Zoé.Lefevre@insa-rouen.fr,1,A,,,2023,0,0,0,1,0,0,0,0,0,,
240336,MME,Aurélien,Barbier,2022,ALLD,Aurélien.Barbier@insa-rouen.fr,0,SA2,,,2022,0,0,0,0,0,0,1,0,0,,
240337,M.,Gaétan,Seguin,2023,ESP,Gaétan.Seguin@insa-rouen.fr,SIB,I,,,2023,0,0,0,1,0,0,0,0,0,,
240338,M.,Mona,Lefort,2023,ESP,Mona.Lefort@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240341,MME,Joachim,Bazille,2023,ESP,Joachim.Bazille@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240349,M.,Faustine,Pereira,2023,ESP,Faustine.Pereira@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240356,M.,Olivier,Noel,2024 - INT 2A,ESPGD,Olivier.Noel@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,1,0,,
240374,MME,Odette,Leconte,2024 - INT 2A,ESP,Odette.Leconte@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,0,0,,
240375,MME,Victorine,Gaborit,2023,ESPD,Victorine.Gaborit@insa-rouen.fr,2,F,rattrapage espagnol,,2023,0,0,0,0,0,1,0,0,0,,
240380,M.,Louis,Martin,2023,ESPD,Louis.Martin@insa-rouen.fr,1,A,,passage en SIB,2023,0,0,0,0,0,1,0,0,0,,
240387,MME,Jonathan,Perrot,2023,ESPD,Jonathan.Perrot@insa-rouen.fr,SIB,I,,,2023,0,0,0,0,0,1,0,0,0,,
240388,MME,Lucie,Lecomte,2023,ESP,Lucie.Lecomte@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240391,M.,Antonin,Benet,2023,ALL,Antonin.Benet@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240392,MME,Laurine,Garlier,2024 - INT 2A,ESP,Laurine.Garlier@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,0,0,,
240393,M.,Gauthier,Mallet,2023,ALL,Gauthier.Mallet@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240394,MME,Sakura,Takeda,2023,ESP,Sakura.Takeda@insa-rouen.fr,SIB,J,"rattrapage I1, M1, I2",,2023,0,0,0,1,0,0,0,0,0,,
240408,M.,Clémentine,Hamon,2023,ESP,Clémentine.Hamon@insa-rouen.fr,1,D,"rattrapage P3, C1, points de jury STI",,2023,0,0,0,1,0,0,0,0,0,,
240411,MME,Fanny,Denis,2023,ALLD,Fanny.Denis@insa-rouen.fr,SIB,I,,,2023,0,0,0,0,0,0,1,0,0,,
240412,M.,Eden,Letellier,2023,ALL,Eden.Letellier@insa-rouen.fr,2,F,"rattrapage I1, M2",,2023,0,0,1,0,0,0,0,0,0,,
240420,M.,Hana,Sato,2023,ALL,Hana.Sato@insa-rouen.fr,SIB,J,,,2023,0,0,1,0,0,0,0,0,0,,
240422,MME,Charlotte,Poulain,2023,ESP,Charlotte.Poulain@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240423,MME,Eliott,Humbert,2023,ALLD,Eliott.Humbert@insa-rouen.fr,1,D,,,2023,0,0,0,0,0,0,1,0,0,,
240427,M.,Taro,Kim,2023,ESP,Taro.Kim@insa-rouen.fr,SIB,K,,,2023,0,0,0,1,0,0,0,0,0,,
240432,M.,Cédric,Lemoine,2023,ESP,Cédric.Lemoine@insa-rouen.fr,SIB,K,Points de jury ,,2023,0,0,0,1,0,0,0,0,0,,
240435,M.,Soline,Gilles,2023,ALL,Soline.Gilles@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240438,MME,Minh,Tran,2023,ESP,Minh.Tran@insa-rouen.fr,SIB,I,,,2023,0,0,0,1,0,0,0,0,0,,
240439,MME,Emir,Yildirim,2023,ESP,Emir.Yildirim@insa-rouen.fr,SIB,K,,,2023,0,0,0,1,0,0,0,0,0,,
240443,MME,Manon,Morel,2023,ESP,Manon.Morel@insa-rouen.fr,1,A,,,2023,0,0,0,1,0,0,0,0,0,,
240444,M.,Fabien,Benoit,2022,ALL,Fabien.Benoit@insa-rouen.fr,0,SA2,,,2022,0,0,1,0,0,0,0,0,0,,
240447,M.,Gilles,Laurent,2023,ESP,Gilles.Laurent@insa-rouen.fr,SIB,K,,,2023,0,0,0,1,0,0,0,0,0,,
240452,M.,Timéo,Barbier,2023,ESP,Timéo.Barbier@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240456,M.,Timothée,Prevost,2023,ALL,Timothée.Prevost@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240458,M.,Nolwenn,Perrot,2023,ESP,Nolwenn.Perrot@insa-rouen.fr,1,D,rattrapage C1 P2,,2023,0,0,0,1,0,0,0,0,0,,
240461,MME,Emilien,Barbier,2022,ESP,Emilien.Barbier@insa-rouen.fr,0,SA2,,,2022,0,0,0,1,0,0,0,0,0,,
240462,M.,Clara,Raymond,2023,ESP,Clara.Raymond@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240463,M.,Marceau,Joly,2023,ALL,Marceau.Joly@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240469,M.,Yanis,Leclercq,2023,ALL,Yanis.Leclercq@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240471,M.,Violette,Thierry,2023,ALL,Violette.Thierry@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240473,MME,Ismaël,Laborde,2023,ALL,Ismaël.Laborde@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240474,M.,Eva,Robin,2023,ESP,Eva.Robin@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
240475,M.,Zacharie,Gaston,2023,ESP,Zacharie.Gaston@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240476,M.,Sophie,Turpin,2024 - INT 2A,ESP,Sophie.Turpin@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,0,0,,
240498,MME,Deniz,Altintas,2023,ESPD,Deniz.Altintas@insa-rouen.fr,SIB,K,,,2023,0,0,0,0,0,1,0,0,0,,
240500,M. ,Mathis,Chauvet,2022-RED-1A,ESP,Mathis.Chauvet@insa-rouen.fr,1,D,,,2022,1,0,0,1,0,0,0,0,0,,
240501,M.,Noah,Lambert,2023,ESPD,Noah.Lambert@insa-rouen.fr,1,A,,,2023,0,0,0,0,0,1,0,0,0,,
240517,MME,Imane,Hassan,2023,ALL,Imane.Hassan@insa-rouen.fr,SIB,J,,,2023,0,0,1,0,0,0,0,0,0,,
240520,M.,Pauline,Cordier,2023,ESP,Pauline.Cordier@insa-rouen.fr,1,D,rattrapage I2,,2023,0,0,0,1,0,0,0,0,0,,
240523,M.,Célestin,Legendre,2023,ESP,Célestin.Legendre@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240531,M.,Selin,Demir,2023,ESP,Selin.Demir@insa-rouen.fr,SIB,K,,,2023,0,0,0,1,0,0,0,0,0,,
240532,M.,Théo,Garnier,2023,ESP,Théo.Garnier@insa-rouen.fr,1,B,"rattrapage I1, I2, CTI, Pts de jury SF2",,2023,0,0,0,1,0,0,0,0,0,,
240534,M.,Mathias,Gaudin,2024 - Transfert,ALL,Mathias.Gaudin@insa-rouen.fr,0,,,,2024,0,0,1,0,0,0,0,0,0,,
240536,MME,Aurore,Descamps,2023,ESP,Aurore.Descamps@insa-rouen.fr,SIB,I,,,2023,0,0,0,1,0,0,0,0,0,,
240540,MME,Hervé,Joly,2023,ESP,Hervé.Joly@insa-rouen.fr,0,SA1,,,2023,0,0,0,1,0,0,0,0,0,,
240547,M.,Loris,Pichon,2023,ESP,Loris.Pichon@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240548,MME,Juliette,Moulin,2023,ESP,Juliette.Moulin@insa-rouen.fr,1,B,"Points de jury SF3, ",,2023,0,0,0,1,0,0,0,0,0,,
240551,M.,Laure,Bodin,2023,ALL,Laure.Bodin@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240556,M.,Philomène,Castaing,2023,ESP,Philomène.Castaing@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240567,MME,Salomé,Lejeune,2023,ESP,Salomé.Lejeune@insa-rouen.fr,1,C,"points de jury SF4, STI",,2023,0,0,0,1,0,0,0,0,0,,
240575,M.,Axel,Chevalier,2023,ESP,Axel.Chevalier@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
240586,M.,Maëlle,Renard,2023,ESP,Maëlle.Renard@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
240587,M.,Mei,Li,2023,ESP,Mei.Li@insa-rouen.fr,SIB,J,,,2023,0,0,0,1,0,0,0,0,0,,
240589,MME,Jérémie,Morin,2023,ESPD,Jérémie.Morin@insa-rouen.fr,SIB,J,,,2023,0,0,0,0,0,1,0,0,0,,
240590,MME,Célian,Jourdan,2023,ALL,Célian.Jourdan@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240591,M.,Eléa,Verdier,2023,ESP,Eléa.Verdier@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240596,M.,Blandine,Deschamps,2023,ESP,Blandine.Deschamps@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240597,M.,Cléa,Gilbert,2023,ALL,Cléa.Gilbert@insa-rouen.fr,2,F,Points de jury SF2,,2023,0,0,1,0,0,0,0,0,0,,
240598,M.,Estelle,Rolland,2023,ESP,Estelle.Rolland@insa-rouen.fr,SIB,J,,,2023,0,0,0,1,0,0,0,0,0,,
240609,M.,Rosalie,Duchamp  ,2023,ESP,Rosalie.Duchamp  @insa-rouen.fr,2,H,points de jury STI,,2023,0,0,0,1,0,0,0,0,0,,
240610,MME,Enzo,Perrin,2023,ESP,Enzo.Perrin@insa-rouen.fr,1,B,"rattrapage I2, CTI",,2023,0,0,0,1,0,0,0,0,0,,
240615,M.,Geneviève,Baudry,2023,ESP,Geneviève.Baudry@insa-rouen.fr,0,SA1,,,2023,0,0,0,1,0,0,0,0,0,,
240616,MME,Lison,Marchand,2023,ESP,Lison.Marchand@insa-rouen.fr,1,B,points de jury,,2023,0,0,0,1,0,0,0,0,0,,
240621,M.,Angèle,Baudry,2022-RED-1A,ESP,Angèle.Baudry@insa-rouen.fr,2,G,,,2022,1,0,0,1,0,0,0,0,0,,
240625,MME,Cédric,Boulanger,2023,ESP,Cédric.Boulanger@insa-rouen.fr,2,G,Points de jury SF3,,2023,0,0,0,1,0,0,0,0,0,,
240626,M.,Nathan,Laurent,2023,ESPD,Nathan.Laurent@insa-rouen.fr,1,A,,,2023,0,0,0,0,0,1,0,0,0,,
240629,M.,Justine,Pichon,2024 - INT 2A,ESP,Justine.Pichon@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,0,0,,
240635,M.,Anas,Lahlou,2023,ESPD,Anas.Lahlou@insa-rouen.fr,SIB,K,,,2023,0,0,0,0,0,1,0,0,0,,
240642,M.,Ézéchiel,Chapelain,2023,ESP,Ézéchiel.Chapelain@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240643,M.,Cyrille,Benard,2023,ESPD,Cyrille.Benard@insa-rouen.fr,SIB,J,,,2023,0,0,0,0,0,1,0,0,0,,
240648,M.,Lydie,Mougin,2023,ESPD,Lydie.Mougin@insa-rouen.fr,2,F,,,2023,0,0,0,0,0,1,0,0,0,,
240652,MME,Ewen,Leconte,2023,ESP,Ewen.Leconte@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240660,M.,Léa,Richard,2023,ESP,Léa.Richard@insa-rouen.fr,1,A,Points de jury,,2023,0,0,0,1,0,0,0,0,0,,
240662,M.,Benoît,Boulay,2023,ALL,Benoît.Boulay@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240668,MME,Maéva,Peltier,2023,ESP,Maéva.Peltier@insa-rouen.fr,1,D,rattrapage anglais,,2023,0,0,0,1,0,0,0,0,0,,
240670,M.,Kaito,Zhang,2023,ALLD,Kaito.Zhang@insa-rouen.fr,SIB,I,,,2023,0,0,0,0,0,0,1,0,0,,
240672,M.,Leyla,Karaman,2024 - INT 2A,ESP,Leyla.Karaman@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,0,0,,
240673,MME,Zineb,Ouazzani,2023,ESP,Zineb.Ouazzani@insa-rouen.fr,SIB,J,,,2023,0,0,0,1,0,0,0,0,0,,
240681,M.,Gabin,Besson,2023,ESP,Gabin.Besson@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240682,M.,Yuna,Nguyen,2023,FLE,Yuna.Nguyen@insa-rouen.fr,SIB,J,,,2023,0,0,0,0,1,0,0,0,0,,
240685,M.,Roméo,Charlier,2023,ESP,Roméo.Charlier@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240692,MME,Isabelle,Marin,2024 - INT 2A,ESPGD,Isabelle.Marin@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,1,0,,
240696,M.,Estéban,Mahe,2023,ESPD,Estéban.Mahe@insa-rouen.fr,2,F,,,2023,0,0,0,0,0,1,0,0,0,,
240704,M.,Pascal,Dupuis,2024 - INT 2A,ALL,Pascal.Dupuis@insa-rouen.fr,0,,,,2024,0,1,1,0,0,0,0,0,0,,
240705,M.,Ryota,Kwon,2023,ESP,Ryota.Kwon@insa-rouen.fr,SIB,K,"rattrapage CTI, Points de jury SF3",,2023,0,0,0,1,0,0,0,0,0,,
240706,M.,Augustin,Drouin,2023,ALL,Augustin.Drouin@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240707,MME,Bérénice,Maillot,2023,ESP,Bérénice.Maillot@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240708,M.,Rina,Chung,2023,ALL,Rina.Chung@insa-rouen.fr,SIB,K,,,2023,0,0,1,0,0,0,0,0,0,,
240712,M.,Élias,Perrault  ,2023,ESP,Élias.Perrault  @insa-rouen.fr,2,H,points de jury STI,,2023,0,0,0,1,0,0,0,0,0,,
240713,MME,Eugène,Lamour,2023,ESP,Eugène.Lamour@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240723,M.,Gaspard,Laborde,2023,ESP,Gaspard.Laborde@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240726,MME,Louise,Dupont,2023,ESPD,Louise.Dupont@insa-rouen.fr,1,A,,,2023,0,0,0,0,0,1,0,0,0,,
240729,MME,Clarisse,Ledurand,2024 - INT 2A,ESP,Clarisse.Ledurand@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,0,0,,
240732,M.,Émeric,Guillon,2023,ESP,Émeric.Guillon@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240734,M.,Jasmine,Tong,2024 - Transfert,ESP,Jasmine.Tong@insa-rouen.fr,0,,,,2024,0,0,0,1,0,0,0,0,0,,
240735,M.,Tuna,Ozturk,2023,ESP,Tuna.Ozturk@insa-rouen.fr,SIB,J,,,2023,0,0,0,1,0,0,0,0,0,,
240736,M.,Suki,Kawaguchi,2023,ALLD,Suki.Kawaguchi@insa-rouen.fr,SIB,I,,,2023,0,0,0,0,0,0,1,0,0,,
240737,M.,Agnès,Maillard,2023,ALL,Agnès.Maillard@insa-rouen.fr,SIB,K,,,2023,0,0,1,0,0,0,0,0,0,,
240738,MME,Raphaël,Rousseau,2023,ESP,Raphaël.Rousseau@insa-rouen.fr,1,B,"rattrapage I1, M2",,2023,0,0,0,1,0,0,0,0,0,,
240739,MME,Solange,Pelletier,2024 - INT 2A,ESP,Solange.Pelletier@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,0,0,,
